"Cond1","Cond2","RG1_All","RG2_Significant","RG3_SignificantChange"
"DOWN","DOWN","Cond1 DOWN + Cond2 DOWN","Core_DOWN","Core_DOWN"
"DOWN","No Change","Cond1 DOWN + Cond2 Not Detected","Cond1_DOWN","Cond1_DOWN"
"DOWN","UP","Cond1 DOWN + Cond2 UP","Opposite","Opposite"
"UP","DOWN","Cond1 UP + Cond2 DOWN","Opposite","Opposite"
"UP","No Change","Cond1 UP + Cond2 Not Detected","Cond1_UP","Cond1_UP"
"UP","UP","Cond1 UP + Cond2 UP","Core_UP","Core_UP"
"No Change","DOWN","Cond1 Not Detected + Cond2 DOWN","Cond2_DOWN","Cond2_DOWN"
"No Change","No Change","Cond1 Not Detected + Cond2 Not Detected","None","None"
"No Change","UP","Cond1 Not Detected + Cond2 UP","Cond2_UP","Cond2_UP"
