"","Metabolite","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"1","valine-d8",-0.0289015806843311,0.0103349663635028,-0.00147482892320151,-0.0482464173243785,-0.0835397796311701,-0.17352859199323,-0.199025229508764,-0.137767296610875,-0.196774703585157,-0.109848065996553,-0.00150961146978826,0.795518104443456
"2","hippuric acid-d5",-0.0492318335830234,0.0125866051200986,-0.0065689356000239,-0.0506174502790033,-0.153155792064705,-0.433193518004331,-0.464290413440625,-0.190303022642662,-0.0139516155155131,-0.0489097184760297,-0.164849641753342,-0.164163221176717
"3","2/3-phosphoglycerate",-0.000515005100509749,0.000702929367294257,-0.000904144684196231,-0.00100232437475104,0.00162831358565372,-0.00695267823436041,0.00534282743538819,0.0164485441049248,-0.00370024896753719,-0.0301622664530251,0.0257475721821847,0.131579336258194
"4","2-aminoadipic acid",-5.57817601957391e-05,-0.000131603001189532,-1.35636377320944e-06,-0.000222561440220146,0.000260701260352147,0.00105121682851712,-0.000330067915054535,-0.00119931709126847,0.000421406583763937,0.000762557850901594,8.82265103262603e-06,0.320251046584875
"5","2-hydroxyglutarate",-0.00915390123808144,0.00406615648322367,0.00317302411596226,-0.00441985650736553,-0.0115370043282468,0.0253803252202143,-0.0325169675328311,-0.0249150612352416,-0.0554126310840805,0.0956307500561206,0.019009265657721,0.116836564247302
"6","2-ketoglutarate",-0.0262368858851581,0.00132741079055918,0.00307851550084602,0.0205969316827188,-0.0240498508400415,0.0706107929974837,-0.00149581179257486,-0.100882225257457,-0.106508544538337,0.246953459377408,0.0309548216205749,-0.230669358702742
"7","4-guanidinobutanoate",9.9228385498118e-05,-3.31058296134634e-05,-2.80062780309059e-05,-0.000132683802823627,0.000164793909310368,-0.000570506229700678,-0.00030100764126339,0.000437945264200409,0.00052956687310379,0.00119561185643501,-0.00195660963676274,0.00532492440429758
"8","4-hydroxyphenyllactate",8.36635106312044e-05,-1.19818391493367e-05,-6.20641339890978e-05,-5.24679837562351e-07,0.000109257535653838,-0.000115178287014873,-0.000137982097419109,-0.000285887802327031,-7.6494704483128e-05,0.000463420301620716,-0.00030973923998342,0.0124295808705527
"9","5-aminolevulinic acid",2.54033632399027e-05,3.34533899686534e-05,-7.69979358533717e-05,0.000125260986840211,7.82672766649803e-05,0.000275766884382561,-0.000353712121318028,-0.0009672492840484,0.000580007937146475,0.000886374511241514,-0.000512132467321917,-0.00566119286493105
"10","5-aminovaleric acid*",-0.00110530424800763,-0.000320203576109436,0.00107117975964697,-0.00443015528617078,0.0022180396764413,-0.00282253400934469,0.00228210414856002,0.00411405251165157,-0.0100434534103321,0.00793972286443694,0.00985936483386025,-0.0039059837944573
"11","5-methylthioadenosine (MTA)",0.000322079746835301,-8.82479567443663e-05,-0.000196487422979297,0.000990144709512098,0.00116537820382933,0.00360821429346594,0.000949477350147932,0.00161015178776497,0.00996206336203647,0.0124665440577327,0.00740379682543783,-0.00157623048452666
"12","6-phosphogluconate",1.14160858177903e-05,2.06856605487208e-05,-1.16508629083686e-05,6.0725434873703e-05,0.000345025918312548,0.000246927293630678,0.000652928041757452,0.000104677049933687,-0.00139429243923969,0.000999161087665546,-0.00189701845510473,0.000421208507843693
"13","acetylcarnitine",-0.0247421327114125,-0.0676032180481905,0.172994847082393,0.877937582626238,-0.139370008560252,0.197130642415083,-0.0759430991908168,-0.120180341750902,-0.0720319596101111,-0.0420415308919982,0.0255704177487412,0.02032268821452
"14","acetylcholine",0.000299407729654452,-0.000857729641553448,0.000791443665570151,0.000382086309841528,0.00154261694350137,0.000523721406894201,-0.00198156217347592,0.00152292898786553,0.00650294012141413,0.00195084549386013,0.00543893615296045,0.000711911013489047
"15","acetyl-CoA",-1.0616200542539e-05,1.46081674750941e-05,8.18204406260643e-05,7.90019331650132e-05,0.000509698148405863,1.1272674416148e-05,-0.000409023758192339,0.000507767701095609,-0.000953298344467711,0.00134496615653207,2.04566464688305e-05,0.000282824536548224
