"Metabolite","Panel","Log2FC","p.adj","RG2_Significant"
"alanylalanine","Young",-0.423296934069759,0.570260688629146,"None"
"alanylglutamate","Young",0.77726690399593,0.688411080202807,"Cond2_UP"
"alanylglycine","Young",-0.654434679934236,0.382377656694214,"None"
"alanylisoleucine","Young",-1.93989669056129,0.037999321760941,"Cond1_DOWN"
"alanylleucine","Young",0.143961209672623,0.902312066734692,"Cond2_UP"
"alanylmethionine","Young",-0.638148960848329,0.625194039064547,"None"
"alanylphenylalanine","Young",0.058061981529246,1,"Cond2_UP"
"alanylthreonine","Young",-0.393487676873447,0.776533676733137,"None"
"alanyltryptophan","Young",-0.0033218335942422,1,"None"
"alanyltyrosine","Young",-0.166100422226517,0.95976704183505,"Cond2_UP"
"alanylvaline","Young",-1.5969967750942,0.0993782763046031,"None"
"alpha-glutamylglutamate","Young",-1.46173252748281,0.0643012770338415,"None"
"alpha-glutamyltryptophan","Young",-2.1257248448656,0.0447619211611028,"Cond1_DOWN"
"alpha-glutamyltyrosine","Young",-1.49714778787356,0.261205107193501,"None"
"arginylleucine","Young",0.562143098696962,0.902312066734692,"Cond2_UP"
"arginylmethionine","Young",0.0324207201847511,1,"None"
"arginylphenylalanine","Young",0.179774643807314,0.998054557546671,"Cond2_UP"
"arginyltyrosine","Young",-0.252114265954814,0.902312066734692,"None"
"arginylvaline","Young",-0.54139508159826,0.567115715148488,"None"
"aspartate-glutamate","Young",-1.36922358314422,0.0246841882617181,"core_DOWN"
"aspartylleucine","Young",-0.399562031541347,0.586073832083925,"Cond2_UP"
"aspartylphenylalanine","Young",-1.16907258471615,0.307716873891832,"None"
"aspartyltryptophan","Young",-2.41443238833778,0.00634937256640125,"core_DOWN"
"aspartylvaline","Young",-0.413040611449285,0.815741561794558,"None"
"cysteinylglycine","Young",8.88178419700125e-16,1,"None"
"glycylglycine","Young",-1.70480503196563,0.0698016901119685,"Cond2_DOWN"
"glycylisoleucine","Young",-1.64933136397208,0.0143446949369626,"core_DOWN"
"glycylleucine","Young",-1.07215873628141,0.139292998718348,"None"
"glycyllysine","Young",-0.744323470551777,0.576436301027911,"None"
"glycylmethionine","Young",-0.566997495314201,0.344375154119765,"None"
"glycylphenylalanine","Young",0.0542032513460455,0.949291726184906,"None"
"glycylproline","Young",-0.137961370495102,0.815741561794558,"None"
"glycylthreonine","Young",-2.81350462517404,0.00548759258059496,"core_DOWN"
"glycyltryptophan","Young",-0.953968904116942,0.313811622803056,"None"
"glycyltyrosine","Young",-0.147292622977094,0.852768239067731,"None"
"glycylvaline","Young",-2.17108732733799,0.00416708075723865,"core_DOWN"
"histidylleucine","Young",0.00320101713104326,1,"Cond2_UP"
"histidylphenylalanine","Young",-0.55695253740607,0.570543467624325,"Cond2_UP"
"histidyltryptophan","Young",0.0119992095750907,1,"None"
"histidyltyrosine","Young",-0.171504090391086,0.92204316735689,"None"
"isoleucylalanine","Young",-1.36665560130198,0.211003373163795,"None"
"isoleucylarginine","Young",-1.87267136732316,0.0390096629999923,"Cond1_DOWN"
"isoleucylglutamate","Young",-1.66588256497842,0.166145090055755,"None"
"isoleucylglycine","Young",-1.77332899534007,0.0161555752430289,"core_DOWN"
"isoleucylhistidine","Young",-1.74166809188648,0.147309622466472,"None"
"isoleucylisoleucine","Young",-1.17682180270254,0.296952639272827,"None"
"isoleucylmethionine","Young",-0.911437705788045,0.555887441111048,"Cond2_UP"
"isoleucylphenylalanine","Young",-3.09885009607299,0.0915729488000676,"None"
"isoleucylserine","Young",-0.950086659112172,0.139292998718348,"None"
"isoleucyltryptophan","Young",-0.459700810091207,0.815741561794558,"None"
"isoleucyltyrosine","Young",0.117174242746945,0.993518856027464,"Cond2_UP"
"isoleucylvaline","Young",-1.77932340568916,0.0861446686336946,"None"
"leucylalanine","Young",-0.433937891384381,0.408667898683035,"None"
"leucylarginine","Young",-1.13098523756767,0.430241685492902,"None"
"leucylasparagine","Young",-0.552483160856044,0.555622670181207,"None"
"leucylglutamate","Young",-0.6371638626437,0.630796781031505,"Cond2_UP"
"leucylglycine","Young",-0.448246034932623,0.591883975222237,"None"
"leucylhistidine","Young",-0.391582492968377,0.896358008271523,"Cond2_UP"
"leucylleucine","Young",-0.124769419664313,0.893296688183173,"Cond2_UP"
"leucylmethionine","Young",-1.96925894244127,0.0843345351724174,"None"
"leucylphenylalanine","Young",-0.629449825698972,0.815741561794558,"Cond2_UP"
"leucylserine","Young",-0.247990014448692,0.95976704183505,"Cond2_UP"
"leucyltryptophan","Young",-0.642776621506514,0.567115715148488,"None"
"leucyltyrosine","Young",-0.381814031364858,0.815741561794558,"None"
"lysylleucine","Young",-1.30008322605736,0.149579488927273,"Cond2_UP"
"lysylmethionine","Young",-0.862492561994759,0.560841136921199,"None"
"lysyltyrosine","Young",1.04681685874218,0.518333486242312,"Cond2_UP"
"methionylalanine","Young",-0.689427850107999,0.718795170895016,"Cond2_UP"
"methionylasparagine","Young",-0.178084318708593,0.914938986652214,"None"
"methionylglutamate","Young",-0.0766905839702288,1,"None"
"methionylglycine","Young",-0.286728520242921,0.902312066734692,"Cond2_UP"
"methionylleucine","Young",0.163075983245796,0.960596876527827,"Cond2_UP"
"methionylphenylalanine","Young",0.711696558160687,0.744940769792816,"None"
"phenylalanylalanine","Young",2.01647572212954,0.0684437952685003,"Cond2_UP"
"phenylalanylarginine","Young",-0.735541239021146,0.630796781031505,"None"
"phenylalanylaspartate","Young",0.662431304964761,0.73422053548755,"Cond2_UP"
"phenylalanylglutamate","Young",0.106570795090209,1,"Cond2_UP"
"phenylalanylglycine","Young",0.806354471031365,0.220565188015884,"Cond2_UP"
"phenylalanylleucine","Young",0.251173403973728,0.961024290663387,"Cond2_UP"
"phenylalanylmethionine","Young",1.5984386984332,0.178275568451105,"Cond2_UP"
"phenylalanylphenylalanine","Young",1.98933614957824,0.145328198304597,"Cond2_UP"
"phenylalanylproline","Young",0.094447705188283,0.903265067637852,"Cond2_UP"
"phenylalanylserine","Young",1.65429905545817,0.181319103433192,"Cond2_UP"
"phenylalanyltryptophan","Young",-0.535698549370738,0.555622670181207,"None"
"phenylalanyltyrosine","Young",-0.162384569883641,0.906704564316229,"Cond2_UP"
"phenylalanylvaline","Young",-0.199064077725333,0.941573728222223,"Cond2_UP"
"pro-hydroxy-pro","Young",-1.36009582831128,0.00634937256640125,"core_DOWN"
"prolylglycine","Young",-1.86996626992681,0.00850782923570899,"core_DOWN"
"serylisoleucine*","Young",-1.55529587751851,0.037999321760941,"Cond1_DOWN"
"serylleucine","Young",-0.154579905999758,0.925939856950505,"Cond2_UP"
"serylphenyalanine","Young",-0.224052900073769,0.725464739897272,"Cond2_UP"
"serylvaline","Young",-0.672627989155606,0.53985171787373,"None"
"threonylglutamate","Young",-1.95870009037142,0.00634937256640125,"Cond1_DOWN"
"threonylleucine","Young",-0.649502186416957,0.587716475117747,"Cond2_UP"
"threonylmethionine","Young",-1.22877021115584,0.317463925029467,"None"
"threonylphenylalanine","Young",0.767655399208875,0.721824627756363,"Cond2_UP"
"threonylvaline","Young",0.36255584614854,0.729656196080872,"None"
"tryptophylasparagine","Young",-2.81643789211464,0.0813052105065254,"Cond2_UP"
"tryptophylglutamate","Young",-0.909803400422038,0.134522466839423,"None"
"tryptophylleucine","Young",0.31578453438362,0.923286922390578,"Cond2_UP"
"tyrosylalanine","Young",0.41337598306074,0.666811399047693,"Cond2_UP"
"tyrosylglutamine","Young",-0.0845558120412957,0.961024290663387,"Cond2_UP"
"tyrosylglycine","Young",-0.245670723497767,0.757525890527903,"None"
"tyrosylhistidine","Young",-0.346158750155152,0.703277701461122,"None"
"tyrosylleucine","Young",-1.4912770841439,0.440550891989111,"Cond2_UP"
"tyrosyllysine","Young",0.527507415874139,0.408252810927915,"None"
"tyrosylphenylalanine","Young",0.672510955329145,0.560841136921199,"Cond2_UP"
"tyrosyltyrosine","Young",-0.246441549492727,0.868568783327893,"None"
"tyrosylvaline","Young",0.818554348045142,0.463012314362889,"Cond2_UP"
"valylalanine","Young",-1.28488935312511,0.0751801298110306,"None"
"valylarginine","Young",-1.69123706243268,0.0601702793416365,"None"
"valylasparagine","Young",-0.360734500562391,0.604877247291284,"None"
"valylaspartate","Young",-1.29491992348417,0.049152885734501,"Cond1_DOWN"
"valylglutamate","Young",-1.02393780181241,0.100668738558417,"None"
"valylglutamine","Young",-0.950611965196063,0.128252466007721,"None"
"valylglycine","Young",-1.75553347884431,0.0247169727765681,"core_DOWN"
"valylhistidine","Young",-0.987040722425033,0.243335195669774,"None"
"valylisoleucine","Young",-0.407736041296498,0.648753056574829,"None"
"valylleucine","Young",-0.188518523319486,0.902312066734692,"Cond2_UP"
"valyllysine","Young",-0.869993031822731,0.185190183566957,"None"
"valylmethionine","Young",-0.299429382148684,0.902312066734692,"Cond2_UP"
"valylphenylalanine","Young",-1.0378229034024,0.238243873242092,"Cond2_UP"
"valylserine","Young",-0.475049776343352,0.550388785491342,"None"
"valyltryptophan","Young",-0.296479343165399,0.868568783327893,"Cond2_UP"
"valyltyrosine","Young",-0.382919658217354,0.860030583005872,"None"
"valylvaline","Young",-1.26880138522049,0.238243873242092,"None"
"alanylalanine","Old",-0.18340119111309,0.297775778560376,"None"
"alanylglutamate","Old",1.05053221398378,0.00218788642797286,"Cond2_UP"
"alanylglycine","Old",0.0199228867324289,0.909130081166755,"None"
"alanylisoleucine","Old",0.0704820956247212,0.797734885858565,"Cond1_DOWN"
"alanylleucine","Old",1.53428628615919,1.4002437351177e-07,"Cond2_UP"
"alanylmethionine","Old",0.946077445201806,0.00256981696231431,"None"
"alanylphenylalanine","Old",1.76062795379209,3.21889413907404e-08,"Cond2_UP"
"alanylthreonine","Old",0.261734935743563,0.317859551917559,"None"
"alanyltryptophan","Old",0.836071774808557,0.00150835332659101,"None"
"alanyltyrosine","Old",1.2056123743373,1.61158178341782e-05,"Cond2_UP"
"alanylvaline","Old",0.110171768131372,0.628822662204305,"None"
"alpha-glutamylglutamate","Old",0.205134897667686,0.330149293480663,"None"
"alpha-glutamyltryptophan","Old",0.464342473769842,0.0800915330888173,"Cond1_DOWN"
"alpha-glutamyltyrosine","Old",0.672266111430121,0.0302539264095173,"None"
"arginylleucine","Old",2.76163649539976,1.3092937196244e-07,"Cond2_UP"
"arginylmethionine","Old",0.561707578377693,0.00115197925871914,"None"
"arginylphenylalanine","Old",2.89846286729869,4.01989673918215e-12,"Cond2_UP"
"arginyltyrosine","Old",0.862410107290236,0.00159839694482751,"None"
"arginylvaline","Old",0.345362619826506,0.0459650267884838,"None"
"aspartate-glutamate","Old",-0.696105242081607,6.1093711279994e-05,"core_DOWN"
"aspartylleucine","Old",1.28935488147835,1.3922150924215e-10,"Cond2_UP"
"aspartylphenylalanine","Old",0.673279272972791,0.00172808344849338,"None"
"aspartyltryptophan","Old",-0.748149078684044,0.000323131971245731,"core_DOWN"
"aspartylvaline","Old",-0.501998704031736,0.0565930160156052,"None"
"cysteinylglycine","Old",0.779607763069552,5.91685923300526e-05,"None"
"glycylglycine","Old",-1.50020238790655,4.82296187764027e-17,"Cond2_DOWN"
"glycylisoleucine","Old",-0.357958416324495,0.0227959713141013,"core_DOWN"
"glycylleucine","Old",-0.00792397492858021,0.970779955854113,"None"
"glycyllysine","Old",0.151516173457806,0.600326883715892,"None"
"glycylmethionine","Old",0.569140256431374,0.000366270442650074,"None"
"glycylphenylalanine","Old",0.768060067088668,1.4002437351177e-07,"None"
"glycylproline","Old",0.834005499313321,2.84997522582884e-10,"None"
"glycylthreonine","Old",-1.814371126434,9.5055620491663e-20,"core_DOWN"
"glycyltryptophan","Old",0.0758777977422576,0.752924254556055,"None"
"glycyltyrosine","Old",0.567023118190322,6.58896494360825e-06,"None"
"glycylvaline","Old",-1.39807656473674,9.58674910731555e-20,"core_DOWN"
"histidylleucine","Old",1.56105819100294,1.50208385598459e-15,"Cond2_UP"
"histidylphenylalanine","Old",1.04024552687432,6.36757101291339e-06,"Cond2_UP"
"histidyltryptophan","Old",0.625647572575799,0.00100094744042132,"None"
"histidyltyrosine","Old",0.635778975741717,0.00320290721596135,"None"
"isoleucylalanine","Old",0.520035476089449,0.0461180148646168,"None"
"isoleucylarginine","Old",-0.192550833355716,0.340945579240231,"Cond1_DOWN"
"isoleucylglutamate","Old",-0.0640945684566534,0.861349369407188,"None"
"isoleucylglycine","Old",-0.498056775742859,0.00574714386553882,"core_DOWN"
"isoleucylhistidine","Old",-0.353916232462264,0.158327655813702,"None"
"isoleucylisoleucine","Old",0.610401907107349,0.0463318200184887,"None"
"isoleucylmethionine","Old",1.15754687162441,0.00176589141893282,"Cond2_UP"
"isoleucylphenylalanine","Old",0.164431507439344,0.748357218867921,"None"
"isoleucylserine","Old",0.542849849085223,0.00924602960294845,"None"
"isoleucyltryptophan","Old",0.639327240562221,0.0514481663020491,"None"
"isoleucyltyrosine","Old",1.42465789073014,7.2813081157209e-06,"Cond2_UP"
"isoleucylvaline","Old",-0.0455787461798726,0.876020502799793,"None"
"leucylalanine","Old",0.848636741431087,0.000187926489839096,"None"
"leucylarginine","Old",0.552865012062215,0.0290608998079996,"None"
"leucylasparagine","Old",0.603621347135456,0.00592100253869583,"None"
"leucylglutamate","Old",1.15895035718544,1.73860797569385e-05,"Cond2_UP"
"leucylglycine","Old",0.885336269790702,0.00205035373679474,"None"
"leucylhistidine","Old",2.13444760879761,6.08842139811144e-11,"Cond2_UP"
"leucylleucine","Old",1.39837911186956,6.99470350495442e-07,"Cond2_UP"
"leucylmethionine","Old",-0.733165139974149,0.0158178360085762,"None"
"leucylphenylalanine","Old",1.02157610678372,0.0153849323926178,"Cond2_UP"
"leucylserine","Old",2.22118393374582,5.45152161431054e-09,"Cond2_UP"
"leucyltryptophan","Old",0.218937188920169,0.264632249602816,"None"
"leucyltyrosine","Old",0.675587998422332,0.0196706889471401,"None"
"lysylleucine","Old",1.09612671718656,4.02891418182804e-05,"Cond2_UP"
"lysylmethionine","Old",0.325348635318362,0.187759930678307,"None"
"lysyltyrosine","Old",2.16473190404441,3.22010012786769e-13,"Cond2_UP"
"methionylalanine","Old",1.85757467790421,6.35284369114463e-07,"Cond2_UP"
"methionylasparagine","Old",0.587482795471711,0.00486213078869618,"None"
"methionylglutamate","Old",0.507131506608653,0.0378534762262447,"None"
"methionylglycine","Old",1.20064723677456,1.31922070462503e-05,"Cond2_UP"
"methionylleucine","Old",1.29126947795627,0.000131319658530139,"Cond2_UP"
"methionylphenylalanine","Old",0.0311150142875189,0.953142690792939,"None"
"phenylalanylalanine","Old",3.04514540033735,1.6547077020975e-27,"Cond2_UP"
"phenylalanylarginine","Old",0.226645640074796,0.438892817676126,"None"
"phenylalanylaspartate","Old",2.5492569101227,1.77658207815336e-13,"Cond2_UP"
"phenylalanylglutamate","Old",1.56305709472478,2.49206300992744e-09,"Cond2_UP"
"phenylalanylglycine","Old",1.49164735276447,3.40243212371856e-11,"Cond2_UP"
"phenylalanylleucine","Old",2.2594733537573,1.21386070669049e-09,"Cond2_UP"
"phenylalanylmethionine","Old",1.32306895795391,1.40686399840302e-05,"Cond2_UP"
"phenylalanylphenylalanine","Old",1.90475074576979,1.12427101687672e-08,"Cond2_UP"
"phenylalanylproline","Old",1.11461029743708,9.08669743565901e-11,"Cond2_UP"
"phenylalanylserine","Old",2.83130665772166,1.34219477808642e-23,"Cond2_UP"
"phenylalanyltryptophan","Old",0.222492534095403,0.231204446150589,"None"
"phenylalanyltyrosine","Old",1.22231081344997,2.95224985961304e-08,"Cond2_UP"
"phenylalanylvaline","Old",1.02493146567312,0.000211544093046663,"Cond2_UP"
"pro-hydroxy-pro","Old",-1.2603234156146,1.00524778562544e-22,"core_DOWN"
"prolylglycine","Old",-1.32855384690504,3.12812657715549e-15,"core_DOWN"
"serylisoleucine*","Old",-0.0314547508511217,0.876501149973913,"Cond1_DOWN"
"serylleucine","Old",1.75768687491577,2.95446575192957e-12,"Cond2_UP"
"serylphenyalanine","Old",1.13677782284982,5.27592117285536e-09,"Cond2_UP"
"serylvaline","Old",0.380359596786214,0.0633837658001214,"None"
"threonylglutamate","Old",-0.206648504250018,0.351570769750416,"Cond1_DOWN"
"threonylleucine","Old",1.31543517546712,2.02659593868707e-06,"Cond2_UP"
"threonylmethionine","Old",0.524767987475927,0.0493878727938345,"None"
"threonylphenylalanine","Old",2.5975387282876,3.71838517985361e-11,"Cond2_UP"
"threonylvaline","Old",0.406813275155195,0.0256622687730128,"None"
"tryptophylasparagine","Old",1.21870600069885,0.00235432236103202,"Cond2_UP"
"tryptophylglutamate","Old",0.659060332426029,0.00018528732664043,"None"
"tryptophylleucine","Old",1.74268280916986,5.09415079902976e-07,"Cond2_UP"
"tyrosylalanine","Old",1.13038222720761,7.64440621890619e-10,"Cond2_UP"
"tyrosylglutamine","Old",1.05343424560284,1.7110316802485e-10,"Cond2_UP"
"tyrosylglycine","Old",0.69383753964894,1.83322805773454e-06,"None"
"tyrosylhistidine","Old",0.853875010707722,1.42433783522818e-05,"None"
"tyrosylleucine","Old",2.51960818815735,5.28290001155952e-10,"Cond2_UP"
"tyrosyllysine","Old",0.0674309414931786,0.674158569520259,"None"
"tyrosylphenylalanine","Old",1.39264688608639,8.72617465686663e-11,"Cond2_UP"
"tyrosyltyrosine","Old",0.711859083236445,0.00241755267487834,"None"
"tyrosylvaline","Old",1.67969232810394,4.19045865409201e-14,"Cond2_UP"
"valylalanine","Old",0.423612169565489,0.053600854622648,"None"
"valylarginine","Old",0.658339840939775,0.00115197925871914,"None"
"valylasparagine","Old",0.255308004361287,0.166069181908553,"None"
"valylaspartate","Old",0.114859480135958,0.564130438361424,"Cond1_DOWN"
"valylglutamate","Old",0.428701378826197,0.0215938383765135,"None"
"valylglutamine","Old",0.284376432050807,0.162142563730249,"None"
"valylglycine","Old",-0.460825039440195,0.0234973760249528,"core_DOWN"
"valylhistidine","Old",-0.340879179404853,0.101162775357472,"None"
"valylisoleucine","Old",0.250476478214091,0.391502548096875,"None"
"valylleucine","Old",1.13498598692903,6.9774726884397e-05,"Cond2_UP"
"valyllysine","Old",-0.108390642177692,0.5864069690308,"None"
"valylmethionine","Old",1.49681567556885,4.38572217573821e-08,"Cond2_UP"
"valylphenylalanine","Old",1.05990570953717,6.13472526997458e-05,"Cond2_UP"
"valylserine","Old",0.462841705139739,0.0144896638553978,"None"
"valyltryptophan","Old",1.23440604865359,3.66404915357117e-05,"Cond2_UP"
"valyltyrosine","Old",0.870488417395779,0.00323580991991677,"None"
"valylvaline","Old",0.333662066660618,0.231204446150589,"None"
